,sc_id,supercon_formula,cleaned_formula,material_dict,highest_Tc,average_Tc,std_Tc,entry_count,composition
966,[21184],La0.62Dy0.38Fe1As1F0.175O0.825,La0.62Dy0.38Fe1As1F0.175O0.825,"{'As': 1.0, 'Dy': 0.38, 'F': 0.17500000000000002, 'Fe': 1.0, 'La': 0.62, 'O': 0.8250000000000001}",38.0,38.0,0.0,1,La0.62 Dy0.38 Fe1 As1 F0.175 O0.825
967,[21242],Dy1Fe1As1F0.1O0.9,Dy1Fe1As1F0.1O0.9,"{'As': 1.0, 'Dy': 1.0, 'F': 0.1, 'Fe': 1.0, 'O': 0.9}",45.0,45.0,0.0,1,Dy1 Fe1 As1 F0.1 O0.9
968,"[20935, 22033, 22034, 22035]",Dy1Fe1As1O0.7,Dy1Fe1As1O0.7,"{'As': 1.0, 'Dy': 1.0, 'Fe': 1.0, 'O': 0.7000000000000001}",51.2,45.85,5.8947010102,4,Dy1 Fe1 As1 O0.7
969,[21057],Dy1Fe1As1O0.85,Dy1Fe1As1O0.85,"{'As': 1.0, 'Dy': 1.0, 'Fe': 1.0, 'O': 0.85}",51.0,51.0,0.0,1,Dy1 Fe1 As1 O0.85
970,"[20452, 20585, 20618, 20630, 21019, 21042, 21153, 21443, 24213, 24493, 24545]",La1F0.05Fe1As1O0.95,La1F0.05Fe1As1O0.95,"{'As': 1.0, 'F': 0.05, 'Fe': 1.0, 'La': 1.0, 'O': 0.9500000000000001}",27.84,23.5490909091,3.6487742762,11,La1 F0.05 Fe1 As1 O0.95
971,[21909],Sm1Fe1As1F0.05O0.95,Sm1Fe1As1F0.05O0.95,"{'As': 1.0, 'F': 0.05, 'Fe': 1.0, 'O': 0.9500000000000001, 'Sm': 1.0}",39.0,39.0,0.0,1,Sm1 Fe1 As1 F0.05 O0.95
972,[22548],La1Fe1As1F0.055O0.945,La1Fe1As1F0.055O0.945,"{'As': 1.0, 'F': 0.055, 'Fe': 1.0, 'La': 1.0, 'O': 0.9450000000000001}",7.0,7.0,0.0,1,La1 Fe1 As1 F0.055 O0.945
973,[20583],La1Fe1As1F0.06O0.94,La1Fe1As1F0.06O0.94,"{'As': 1.0, 'F': 0.06, 'Fe': 1.0, 'La': 1.0, 'O': 0.9400000000000001}",18.0,18.0,0.0,1,La1 Fe1 As1 F0.06 O0.94
974,[20640],Nd1Fe1As1F0.06O0.94,Nd1Fe1As1F0.06O0.94,"{'As': 1.0, 'F': 0.06, 'Fe': 1.0, 'Nd': 1.0, 'O': 0.9400000000000001}",47.5,47.5,0.0,1,Nd1 Fe1 As1 F0.06 O0.94
975,[24235],Sm1Fe1As1F0.06O0.94,Sm1Fe1As1F0.06O0.94,"{'As': 1.0, 'F': 0.06, 'Fe': 1.0, 'O': 0.9400000000000001, 'Sm': 1.0}",36.4,36.4,0.0,1,Sm1 Fe1 As1 F0.06 O0.94
976,[21553],La1Ni1As1F0.06O0.94,La1Ni1As1F0.06O0.94,"{'As': 1.0, 'F': 0.06, 'La': 1.0, 'Ni': 1.0, 'O': 0.9400000000000001}",3.64,3.64,0.0,1,La1 Ni1 As1 F0.06 O0.94
977,"[21020, 21043]",La1Fe1As1F0.07O0.93,La1Fe1As1F0.07O0.93,"{'As': 1.0, 'F': 0.07, 'Fe': 1.0, 'La': 1.0, 'O': 0.93}",25.2,25.2,0.0,2,La1 Fe1 As1 F0.07 O0.93
978,[20998],Sm1Fe1As1F0.07O0.93,Sm1Fe1As1F0.07O0.93,"{'As': 1.0, 'F': 0.07, 'Fe': 1.0, 'O': 0.93, 'Sm': 1.0}",33.0,33.0,0.0,1,Sm1 Fe1 As1 F0.07 O0.93
979,"[20661, 24214]",La1Fe1As1F0.075O0.925,La1Fe1As1F0.075O0.925,"{'As': 1.0, 'F': 0.075, 'Fe': 1.0, 'La': 1.0, 'O': 0.925}",22.0,21.6,0.4,2,La1 Fe1 As1 F0.075 O0.925
980,[23242],Sm1Fe1As1F0.075O0.925,Sm1Fe1As1F0.075O0.925,"{'As': 1.0, 'F': 0.075, 'Fe': 1.0, 'O': 0.925, 'Sm': 1.0}",33.0,33.0,0.0,1,Sm1 Fe1 As1 F0.075 O0.925
